0.875000	0.500000	0.846154	0.700000	1	0.914286	1	0.750000	0.583333
1	1	0.750000	0.791667	0.700000	0.840000	0.750000	0.500000	0.896552
0.666667	1	0.857143	0.733333	0.666667	0.777778	1	1	1
0.833333	0.500000	0.942857	0.884615	0.818182	0.896552	1	0.900000	0.842105
0.800000	0.500000	0.777778	0.933333	1	0.880952	1	0.888889	0.769231
1	0	0.869565	0.800000	0.750000	0.750000	0.600000	0.500000	0.875000
0.750000	1	0.740741	0.789474	0.833333	0.754386	0.500000	0.857143	0.933333
0.750000	1	0.866667	0.833333	0.750000	0.888889	1	1	0.571429
0.636364	0.500000	0.857143	1	0.800000	0.770833	0.600000	0.800000	0.894737
1	0.500000	1	1	0.500000	0.875000	1	0.500000	1
0.933333	0	0.710526	0.827586	0.812500	0.896552	1	0.571429	0.956522
0.500000	0.500000	1	0.888889	0.875000	0.928571	1	0.500000	1
0.750000	0.500000	1	0.800000	0	0.833333	1	0.750000	1
1	1	0.818182	0.812500	1	0.824561	1	0.800000	0.952381
0.666667	1	0.904762	0.818182	0.333333	0.851852	1	0.666667	0.818182
0.636364	1	0.761905	0.851852	1	0.719298	0.500000	0.600000	0.826087
0.750000	0.500000	0.909091	1	1	0.625000	0.666667	1	1
