1, 1, 2, 1, 1, 0.097701, 
1, 1, 2, 2, 2, 0.076650, 
1, 1, 2, 3, 3, 0.044958, 
1, 1, 2, 4, 4, 0.046324, 
1, 1, 2, 5, 5, 0.084014, 
1, 1, 2, 6, 6, 0.030478, 
1, 1, 2, 7, 7, 0.080438, 
1, 1, 2, 8, 8, 0.032917, 
1, 1, 2, 9, 9, 0.041420, 
1, 1, 2, 10, 10, 0.029944, 
1, 1, 3, 1, 2, 0.037721, 
1, 1, 3, 2, 4, 0.040098, 
1, 1, 3, 3, 5, 0.035476, 
1, 1, 3, 4, 5, 0.044897, 
1, 1, 3, 5, 6, 0.082368, 
1, 1, 3, 6, 7, 0.078020, 
1, 1, 3, 7, 11, 0.084714, 
1, 1, 3, 8, 11, 0.044711, 
1, 1, 3, 9, 12, 0.044693, 
1, 1, 3, 10, 17, 0.029846, 
1, 1, 4, 1, 2, 0.093848, 
1, 1, 4, 2, 2, 0.075734, 
1, 1, 4, 3, 3, 0.076166, 
1, 1, 4, 4, 6, 0.032760, 
1, 1, 4, 5, 8, 0.032142, 
1, 1, 4, 6, 7, 0.076091, 
1, 1, 4, 7, 10, 0.032262, 
1, 1, 4, 8, 12, 0.029703, 
1, 1, 4, 9, 11, 0.041582, 
1, 1, 4, 10, 14, 0.031823, 
1, 1, 5, 1, 1, 0.078463, 
1, 1, 5, 2, 4, 0.073684, 
1, 1, 5, 3, 4, 0.075451, 
1, 1, 5, 4, 6, 0.042685, 
1, 1, 5, 5, 8, 0.045026, 
1, 1, 5, 6, 9, 0.029343, 
1, 1, 5, 7, 12, 0.030870, 
1, 1, 5, 8, 11, 0.043059, 
1, 1, 5, 9, 12, 0.030374, 
1, 1, 5, 10, 14, 0.030443, 
1, 1, 6, 1, 2, 0.066911, 
1, 1, 6, 2, 3, 0.082589, 
1, 1, 6, 3, 4, 0.030405, 
1, 1, 6, 4, 5, 0.029989, 
1, 1, 6, 5, 7, 0.033269, 
1, 1, 6, 6, 8, 0.042691, 
1, 1, 6, 7, 11, 0.043257, 
1, 1, 6, 8, 12, 0.029981, 
1, 1, 6, 9, 13, 0.029696, 
1, 1, 6, 10, 15, 0.028614, 
1, 1, 7, 1, 2, 0.073259, 
1, 1, 7, 2, 3, 0.084508, 
1, 1, 7, 3, 3, 0.076590, 
1, 1, 7, 4, 6, 0.045026, 
1, 1, 7, 5, 6, 0.029550, 
1, 1, 7, 6, 8, 0.030985, 
1, 1, 7, 7, 10, 0.030076, 
1, 1, 7, 8, 10, 0.032260, 
1, 1, 7, 9, 15, 0.030264, 
1, 1, 7, 10, 17, 0.030936, 
1, 1, 8, 1, 2, 0.093848, 
1, 1, 8, 2, 3, 0.044579, 
1, 1, 8, 3, 6, 0.044999, 
1, 1, 8, 4, 7, 0.033669, 
1, 1, 8, 5, 7, 0.051058, 
1, 1, 8, 6, 10, 0.030096, 
1, 1, 8, 7, 10, 0.032262, 
1, 1, 8, 8, 13, 0.032058, 
1, 1, 8, 9, 13, 0.107505, 
1, 1, 8, 10, 15, 0.029592, 
1, 1, 9, 1, 1, 0.074549, 
1, 1, 9, 2, 2, 0.078625, 
1, 1, 9, 3, 4, 0.080027, 
